College_Name,City,Student_Pop,,
Academy for Jewish Religion-California,Los Angeles,74,,
Academy of Art University,San Francisco,"18,535",,
Academy of Chinese Culture and Health Sciences,Oakland,149,,
Academy of Couture Art,Beverly Hills,32,,
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,161,,
Alliant International University-San Diego,San Diego,"4,986",,
Allied American University,Laguna Hills,"3,787",,
American Baptist Seminary of the West,Berkeley,79,,
American College of Traditional Chinese Medicine,San Francisco,277,,
American Conservatory Theater,San Francisco,114,,
American Film Institute Conservatory,Los Angeles,371,,
American Jewish University,Los Angeles,212,,
American University of Health Sciences,Signal Hill,358,,
Angeles College,Los Angeles,229,,
Antioch University-Los Angeles,Culver City,"1,436",,
Antioch University-Santa Barbara,Santa Barbara,632,,
Argosy University-Inland Empire,Ontario,993,,
Argosy University-Los Angeles,Los Angeles,859,,
Argosy University-Orange County,Orange,842,,
Argosy University-San Diego,San Diego,636,,
Argosy University-San Francisco Bay Area,Alameda,547,,
Art Center College of Design,Pasadena,"2,721",,
Ashford University,San Diego,"107,170",,
Azusa Pacific University,Azusa,"10,686",,
Azusa Pacific University College,Glendora,"1,815",,
Bergin University of Canine Studies,Rohnert Park,71,,
Bethel Seminary-San Diego,San Diego,199,,
Bethesda University,Anaheim,399,,
Biola University,La Mirada,"6,738",,
Brandman University,Irvine,"11,999",,
Bristol University,Anaheim,362,,
Brooks Institute,Ventura,598,,
Bryan University,Los Angeles,"2,366",,
California Baptist University,Riverside,"9,278",,
California Christian College,Fresno,24,,
California College San Diego,San Diego,0,,
California College San Diego,,0,,
California College San Diego,San Marcos,533,,
California College San Diego,San Diego,"1,211",,
California College of the Arts,San Francisco,"2,146",,
California Institute of Integral Studies,San Francisco,"1,398",,
California Institute of Technology,Pasadena,"2,319",,
California Institute of the Arts,Valencia,"1,549",,
California International Business University,San Diego,39,,
California Lutheran University,Thousand Oaks,"4,928",,
California Miramar University,San Diego,403,,
California Polytechnic State University-San Luis Obispo,San Luis Obispo,"20,916",,
California State Polytechnic University-Pomona,Pomona,"25,000",,
California State University-Bakersfield,Bakersfield,"10,319",,
California State University-Channel Islands,Camarillo,"6,350",,
California State University-Chico,Chico,"18,410",,
California State University-Dominguez Hills,Carson,"15,346",,
California State University-East Bay,Hayward,"16,816",,
California State University-Fresno,Fresno,"24,890",,
California State University-Fullerton,Fullerton,"41,494",,
California State University-Long Beach,Long Beach,"39,242",,
California State University-Los Angeles,Los Angeles,"27,500",,
California State University-Monterey Bay,Seaside,"7,185",,
California State University-Northridge,Northridge,"42,183",,
California State University-Sacramento,Sacramento,"32,021",,
California State University-San Bernardino,San Bernardino,"20,356",,
California State University-San Marcos,San Marcos,"12,524",,
California State University-Stanislaus,Turlock,"9,760",,
California University of Management and Sciences,Anaheim,561,,
California Western School of Law,San Diego,881,,
Chapman University,Orange,"8,815",,
Charles R Drew University of Medicine and Science,Los Angeles,717,,
Charter College-Canyon Country,Canyon Country,"1,556",,
Church Divinity School of the Pacific,Berkeley,74,,
Claremont Graduate University,Claremont,"2,368",,
Claremont McKenna College,Claremont,"1,327",,
Claremont School of Theology,Claremont,408,,
Cogswell College,Sunnyvale,721,,
Coleman University,San Diego,967,,
Columbia College-Hollywood,Tarzana,391,,
Concordia University-Irvine,Irvine,"5,910",,
DeVry University-California,Pomona,"11,611",,
Dell'Arte International School of Physical Theatre,Blue Lake,46,,
Design Institute of San Diego,San Diego,233,,
Dominican School of Philosophy and Theology,Berkeley,86,,
Dominican University of California,San Rafael,"2,226",,
Dongguk University-Los Angeles,Los Angeles,350,,
Emperor's College of Traditional Oriental Medicine,Santa Monica,224,,
Epic Bible College,Sacramento,332,,
Everest College-Ontario Metro,Ontario,0,,
Expression College for Digital Arts,Emeryville,557,,
Fashion Institute of Design and Merchandising-Los Angeles,Los Angeles,"4,117",,
Fashion Institute of Design and Merchandising-San Francisco,San Francisco,659,,
Fielding Graduate University,Santa Barbara,"1,539",,
Five Branches University,Santa Cruz,490,,
Franciscan School of Theology,Oceanside,46,,
Fremont College,Cerritos,599,,
Fresno Pacific University,Fresno,"4,774",,
Fuller Theological Seminary in California,Pasadena,"3,981",,
Golden Gate University-San Francisco,San Francisco,"3,957",,
Grace Mission University,Fullerton,192,,
Graduate Theological Union,Berkeley,253,,
Harvey Mudd College,Claremont,816,,
Holy Names University,Oakland,"1,389",,
Hope International University,Fullerton,"1,953",,
Horizon University,San Diego,41,,
Humboldt State University,Arcata,"9,036",,
Humphreys College-Stockton and Modesto Campuses,Stockton,"1,138",,
Interior Designers Institute,Newport Beach,240,,
International Academy of Design and Technology-Sacramento,Sacramento,85,,
International Technological University,San Jose,"2,369",,
Irell and Manella Graduate School of Biological Sciences at City of Hope,Duarte,89,,
John F. Kennedy University,Pleasant Hill,"1,546",,
John Paul the Great Catholic University,Escondido,352,,
Keck Graduate Institute,Claremont,356,,
La Sierra University,Riverside,"3,153",,
Laguna College of Art and Design,Laguna Beach,662,,
Life Chiropractic College West,Hayward,609,,
Life Pacific College,San Dimas,659,,
Lincoln University,Oakland,897,,
Loma Linda University,Loma Linda,"5,509",,
Los Angeles College of Music,Pasadena,225,,
Los Angeles Film School,Hollywood,"3,214",,
Loyola Marymount University,Los Angeles,"10,480",,
Marshall B Ketchum University,Fullerton,428,,
Marymount California University,Rancho Palos Verdes,"1,823",,
Menlo College,Atherton,854,,
Mills College,Oakland,"1,662",,
Minerva Schools at Keck Graduate Institute,Claremont,28,,
Monterey Institute of International Studies,Monterey,811,,
Mount Saint Mary's University,Los Angeles,"3,664",,
Mt Sierra College,Monrovia,547,,
Musicians Institute,Hollywood,"1,657",,
National University,La Jolla,"29,202",,
Naval Postgraduate School,Monterey,"4,121",,
New York Film Academy,Burbank,"3,886",,
Newschool of Architecture and Design,San Diego,574,,
Northwestern Polytechnic University,Fremont,0,,
Notre Dame de Namur University,Belmont,"2,352",,
Occidental College,Los Angeles,"2,198",,
Otis College of Art and Design,Los Angeles,"1,232",,
Pacific College,Costa Mesa,369,,
Pacific College of Oriental Medicine-San Diego,San Diego,671,,
Pacific Lutheran Theological Seminary,Berkeley,116,,
Pacific Oaks College,Pasadena,"1,591",,
Pacific School of Religion,Berkeley,193,,
Pacific States University,Los Angeles,277,,
Pacific Union College,Angwin,"1,996",,
Pacifica Graduate Institute,Carpinteria,"1,050",,
Palo Alto University,Palo Alto,"1,250",,
Pardee RAND Graduate School,Santa Monica,104,,
Pepperdine University,Malibu,"8,276",,
Phillips Graduate Institute,Chatsworth,261,,
Pitzer College,Claremont,"1,100",,
Platt College-Los Angeles,Alhambra,"1,075",,
Platt College-Ontario,Ontario,648,,
Platt College-Riverside,Riverside,557,,
Platt College-San Diego,San Diego,318,,
Point Loma Nazarene University,San Diego,"4,015",,
Pomona College,Claremont,"1,664",,
Providence Christian College,Pasadena,103,,
Rudolf Steiner College,Fair Oaks,196,,
SUM Bible College and Theological Seminary,Oakland,635,,
Saint Mary's College of California,Moraga,"4,738",,
Samuel Merritt University,Oakland,"2,023",,
San Diego Christian College,Santee,"1,209",,
San Diego State University,San Diego,"35,802",,
San Diego State University-Imperial Valley Campus,,0,,
San Francisco Art Institute,San Francisco,801,,
San Francisco Conservatory of Music,San Francisco,406,,
San Francisco State University,San Francisco,"32,146",,
San Francisco Theological Seminary,San Anselmo,192,,
San Joaquin College of Law,Clovis,177,,
San Jose State University,San Jose,"34,446",,
Sanford-Burnham Medical Research Institute,La Jolla,33,,
Santa Barbara Business College-Bakersfield,Bakersfield,939,,
Santa Barbara Business College-Santa Maria,Santa Maria,320,,
Santa Barbara Business College-Ventura,Ventura,621,,
Santa Clara University,Santa Clara,"10,137",,
Saybrook University,Oakland,645,,
Scripps College,Claremont,"1,055",,
Shasta Bible College and Graduate School,Redding,66,,
Simpson University,Redding,"1,505",,
Sofia University,Palo Alto,426,,
Soka University of America,Aliso Viejo,423,,
Sonoma State University,Rohnert Park,"9,614",,
South Baylo University,Anaheim,901,,
Southern California Institute of Architecture,Los Angeles,529,,
Southern California Institute of Technology,Anaheim,808,,
Southern California Seminary,El Cajon,332,,
Southern California University SOMA,Los Angeles,137,,
Southern California University of Health Sciences,Whittier,"1,652",,
